North America,US,Texas,Dallas Ft Worth,1,1,1995,40.5
North America,US,Texas,Dallas Ft Worth,1,2,1995,34.4
North America,US,Texas,Dallas Ft Worth,1,3,1995,37.5
North America,US,Texas,Dallas Ft Worth,1,4,1995,30.3
North America,US,Texas,Dallas Ft Worth,1,5,1995,31.4
North America,US,Texas,Dallas Ft Worth,1,6,1995,43.4
North America,US,Texas,Dallas Ft Worth,1,7,1995,36.3
North America,US,Texas,Dallas Ft Worth,1,8,1995,47.3
North America,US,Texas,Dallas Ft Worth,1,9,1995,50.2
North America,US,Texas,Dallas Ft Worth,1,10,1995,62.7
North America,US,Texas,Dallas Ft Worth,1,11,1995,64.2
North America,US,Texas,Dallas Ft Worth,1,12,1995,67.7
North America,US,Texas,Dallas Ft Worth,1,13,1995,55.9
North America,US,Texas,Dallas Ft Worth,1,14,1995,50.6
North America,US,Texas,Dallas Ft Worth,1,15,1995,47.5
North America,US,Texas,Dallas Ft Worth,1,16,1995,54.5
North America,US,Texas,Dallas Ft Worth,1,17,1995,61.0
North America,US,Texas,Dallas Ft Worth,1,18,1995,47.1
North America,US,Texas,Dallas Ft Worth,1,19,1995,41.5
North America,US,Texas,Dallas Ft Worth,1,20,1995,45.9
North America,US,Texas,Dallas Ft Worth,1,21,1995,48.6
North America,US,Texas,Dallas Ft Worth,1,22,1995,42.4
North America,US,Texas,Dallas Ft Worth,1,23,1995,37.4
North America,US,Texas,Dallas Ft Worth,1,24,1995,43.2
North America,US,Texas,Dallas Ft Worth,1,25,1995,50.6
North America,US,Texas,Dallas Ft Worth,1,26,1995,55.3
North America,US,Texas,Dallas Ft Worth,1,27,1995,62.5
North America,US,Texas,Dallas Ft Worth,1,28,1995,53.9
North America,US,Texas,Dallas Ft Worth,1,29,1995,41.5
North America,US,Texas,Dallas Ft Worth,1,30,1995,39.2
North America,US,Texas,Dallas Ft Worth,1,31,1995,45.5
North America,US,Texas,Dallas Ft Worth,2,1,1995,53.3
North America,US,Texas,Dallas Ft Worth,2,2,1995,60.6
North America,US,Texas,Dallas Ft Worth,2,3,1995,59.0
North America,US,Texas,Dallas Ft Worth,2,4,1995,51.4
North America,US,Texas,Dallas Ft Worth,2,5,1995,51.1
North America,US,Texas,Dallas Ft Worth,2,6,1995,47.8
North America,US,Texas,Dallas Ft Worth,2,7,1995,48.3
North America,US,Texas,Dallas Ft Worth,2,8,1995,39.7
North America,US,Texas,Dallas Ft Worth,2,9,1995,49.9
